file,round,tick,seconds,att_team,vic_team,att_side,vic_side,hp_dmg,arm_dmg,is_bomb_planted,bomb_site,hitbox,wp,wp_type,att_id,att_rank,vic_id,vic_rank,att_pos_x,att_pos_y,vic_pos_x,vic_pos_y
esea_match_13770997.dem,1,15972,124.3761,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,18,9,FALSE,,Stomach,USP,Pistol,76561198048742900,0,76561198082200400,0,-1499.69,63.33829,-669.5558,-79.76957
esea_match_13770997.dem,1,16058,125.0495,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,100,0,FALSE,,Head,USP,Pistol,76561198055054700,0,76561197961009200,0,-1066.874,3.44563,-614.1868,-91.70777
esea_match_13770997.dem,1,16066,125.1121,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,12,7,FALSE,,RightArm,Glock,Pistol,76561198082200400,0,76561198055054700,0,-747.3146,-49.32681,-1065.556,9.381622
esea_match_13770997.dem,1,16108,125.441,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,15,7,FALSE,,Chest,USP,Pistol,76561198048742900,0,76561198082200400,0,-1501.861,49.19798,-748.4188,-53.46922
esea_match_13770997.dem,1,16188,126.0674,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,94,0,FALSE,,Head,Glock,Pistol,76561198082200400,0,76561198048742900,0,-756.2186,-80.94859,-1500.078,60.65815
esea_match_13770997.dem,1,16210,126.2397,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,6,0,FALSE,,Head,Glock,Pistol,76561198082200400,0,76561198048742900,0,-751.6216,-55.69779,-1499.893,61.62376
esea_match_13770997.dem,1,16496,128.4791,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,13,6,FALSE,,Chest,USP,Pistol,76561198055191000,0,76561198133908300,0,-1878.242,527.7095,-632.5327,69.1092
esea_match_13770997.dem,1,16510,128.5888,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,87,0,FALSE,,Head,Glock,Pistol,76561198037331400,0,76561198055054700,0,-1025.829,-487.7901,-1051.822,98.66519
esea_match_13770997.dem,1,16514,128.6201,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,9,5,FALSE,,Chest,Glock,Pistol,76561198082200400,0,76561198055191000,0,-702.2363,93.98489,-1877.25,530.4081
esea_match_13770997.dem,1,16530,128.7454,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,13,6,FALSE,,RightArm,USP,Pistol,76561198055191000,0,76561198082200400,0,-1875.663,534.7057,-701.8441,95.10104
esea_match_13770997.dem,1,16530,128.7454,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,3,1,FALSE,,Chest,USP,Pistol,76561198055191000,0,76561198133908300,0,-1875.663,534.7057,-642.4961,60.08743
esea_match_13770997.dem,1,16562,128.9959,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,13,6,FALSE,,RightArm,USP,Pistol,76561198055191000,0,76561198082200400,0,-1880.191,522.7754,-705.1382,86.38733
esea_match_13770997.dem,1,17014,132.5352,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,9,5,FALSE,,Chest,Glock,Pistol,76561198082200400,0,76561198055191000,0,-789.0594,156.5308,-1878.863,518.6008
