file,round,tick,seconds,att_team,vic_team,att_side,vic_side,wp,wp_type,ct_alive,t_alive,is_bomb_planted
esea_match_13770997.dem,1,16058,30.74165,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,USP,Pistol,5,4,FALSE
esea_match_13770997.dem,1,16210,31.93185,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,Glock,Pistol,4,4,FALSE
esea_match_13770997.dem,1,16510,34.28094,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,Glock,Pistol,3,4,FALSE
esea_match_13770997.dem,1,17104,38.93212,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,USP,Pistol,3,3,FALSE
esea_match_13770997.dem,1,17338,40.76441,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,Glock,Pistol,2,3,FALSE
esea_match_13770997.dem,1,17524,42.22083,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,Glock,Pistol,1,3,FALSE
esea_match_13770997.dem,1,17814,44.49162,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,USP,Pistol,1,2,FALSE
esea_match_13770997.dem,1,18662,51.13169,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,USP,Pistol,1,1,FALSE
esea_match_13770997.dem,1,20000,61.60859,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,Glock,Pistol,0,1,TRUE
esea_match_13770997.dem,2,26160,43.03519,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,4,5,FALSE
esea_match_13770997.dem,2,26190,43.27008,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,3,5,FALSE
esea_match_13770997.dem,2,26626,46.68408,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,Deagle,Pistol,3,4,FALSE
esea_match_13770997.dem,2,26634,46.74673,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,2,4,FALSE
esea_match_13770997.dem,2,28032,57.69345,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,CZ,Pistol,2,3,FALSE
esea_match_13770997.dem,2,28154,58.64874,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,CZ,Pistol,2,2,FALSE
esea_match_13770997.dem,2,28406,60.62198,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,1,2,FALSE
esea_match_13770997.dem,3,40853,39.46457,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AK47,Rifle,5,4,FALSE
esea_match_13770997.dem,3,41141,41.7197,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,4,4,FALSE
esea_match_13770997.dem,3,42263,50.50528,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,Negev,Heavy,3,4,FALSE
esea_match_13770997.dem,3,42771,54.48303,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,2,4,FALSE
esea_match_13770997.dem,3,42949,55.87683,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,Mac10,SMG,1,4,FALSE
esea_match_13770997.dem,3,43037,56.56589,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,Mac10,SMG,0,4,FALSE
esea_match_13770997.dem,4,47424,29.14429,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,5,4,FALSE
esea_match_13770997.dem,4,47696,31.27414,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,5,3,FALSE
esea_match_13770997.dem,4,47771,31.85358,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,4,3,FALSE
esea_match_13770997.dem,4,47873,32.65225,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,3,3,FALSE
esea_match_13770997.dem,4,48071,34.20267,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,2,3,FALSE
esea_match_13770997.dem,4,52433,68.29565,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,2,2,TRUE
esea_match_13770997.dem,4,52745,70.73871,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,1,2,TRUE
esea_match_13770997.dem,4,54123,81.52884,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,1,1,TRUE
esea_match_13770997.dem,4,55127,89.39041,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,Negev,Heavy,0,1,TRUE
esea_match_13770997.dem,5,59715,30.81998,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,4,5,FALSE
esea_match_13770997.dem,5,59749,31.08621,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,CZ,Pistol,4,4,FALSE
esea_match_13770997.dem,5,60215,34.73511,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,P250,Pistol,4,3,FALSE
esea_match_13770997.dem,5,60337,35.6904,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,P250,Pistol,4,2,FALSE
esea_match_13770997.dem,5,60693,38.47797,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,Bizon,SMG,3,2,FALSE
esea_match_13770997.dem,5,60917,40.23196,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,CZ,Pistol,3,1,FALSE
esea_match_13770997.dem,5,61371,43.7869,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,P250,Pistol,3,0,FALSE
esea_match_13770997.dem,6,67189,40.38855,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,4,5,FALSE
esea_match_13770997.dem,6,67573,43.39539,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,3,5,FALSE
esea_match_13770997.dem,6,68281,48.93921,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,3,4,FALSE
esea_match_13770997.dem,6,69919,61.7652,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AK47,Rifle,3,3,FALSE
esea_match_13770997.dem,6,69983,62.26636,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AK47,Rifle,3,2,FALSE
esea_match_13770997.dem,6,71309,72.64929,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,2,2,FALSE
esea_match_13770997.dem,6,71557,74.59119,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,1,2,FALSE
esea_match_13770997.dem,6,74009,93.79102,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AWP,Sniper,1,1,TRUE
esea_match_13770997.dem,6,76761,115.2773,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,0,1,TRUE
esea_match_13770997.dem,7,82318,38.38397,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,CZ,Pistol,5,4,FALSE
esea_match_13770997.dem,7,83704,49.23676,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,P90,SMG,4,4,FALSE
esea_match_13770997.dem,7,84030,51.78943,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,3,4,FALSE
esea_match_13770997.dem,7,84194,53.07361,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,Deagle,Pistol,3,3,FALSE
esea_match_13770997.dem,7,85318,61.87482,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,P90,SMG,2,3,FALSE
esea_match_13770997.dem,7,86196,68.74982,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,1,3,FALSE
esea_match_13770997.dem,7,86960,74.66949,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,0,3,FALSE
esea_match_13770997.dem,8,91687,31.9162,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,P90,SMG,4,5,FALSE
esea_match_13770997.dem,8,91755,32.44867,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,CZ,Pistol,4,4,FALSE
esea_match_13770997.dem,8,92233,36.19153,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,CZ,Pistol,4,3,FALSE
esea_match_13770997.dem,8,92259,36.39508,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,Deagle,Pistol,4,2,FALSE
esea_match_13770997.dem,8,92691,39.77777,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,CZ,Pistol,4,1,FALSE
esea_match_13770997.dem,8,94543,54.27942,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,3,1,FALSE
esea_match_13770997.dem,8,95267,59.94855,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,2,1,FALSE
esea_match_13770997.dem,8,96909,72.7276,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,1,1,FALSE
esea_match_13770997.dem,8,97151,74.6225,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,P250,Pistol,1,0,FALSE
esea_match_13770997.dem,9,102435,36.28552,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,4,5,FALSE
esea_match_13770997.dem,9,102449,36.39514,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AWP,Sniper,4,4,FALSE
esea_match_13770997.dem,9,106971,71.78796,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AWP,Sniper,4,3,FALSE
esea_match_13770997.dem,9,107181,73.43231,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AWP,Sniper,4,2,FALSE
esea_match_13770997.dem,9,107327,74.57556,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,3,2,FALSE
esea_match_13770997.dem,9,107341,74.68518,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,3,1,FALSE
esea_match_13770997.dem,9,107431,75.38989,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AWP,Sniper,3,0,FALSE
esea_match_13770997.dem,10,112159,31.80658,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,CZ,Pistol,4,5,FALSE
esea_match_13770997.dem,10,112479,34.31226,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AK47,Rifle,4,4,FALSE
esea_match_13770997.dem,10,112821,36.99023,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AK47,Rifle,4,3,FALSE
esea_match_13770997.dem,10,113865,45.16504,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,CZ,Pistol,3,3,FALSE
esea_match_13770997.dem,10,114713,51.80511,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AK47,Rifle,3,2,FALSE
esea_match_13770997.dem,10,114831,52.72906,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AWP,Sniper,2,2,FALSE
esea_match_13770997.dem,10,116109,62.73615,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AWP,Sniper,2,1,FALSE
esea_match_13770997.dem,10,119231,87.15094,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,M4A4,Rifle,1,1,FALSE
esea_match_13770997.dem,10,119299,87.68341,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AK47,Rifle,1,0,FALSE
esea_match_13770997.dem,11,123819,30.19354,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,Negev,Heavy,4,5,FALSE
esea_match_13770997.dem,11,123821,30.20923,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,4,4,FALSE
esea_match_13770997.dem,11,123945,31.18018,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,Negev,Heavy,3,4,FALSE
esea_match_13770997.dem,11,125871,46.26129,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AWP,Sniper,3,3,FALSE
esea_match_13770997.dem,11,127212,56.75385,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AWP,Sniper,3,2,FALSE
esea_match_13770997.dem,11,127398,58.21027,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,Negev,Heavy,2,2,FALSE
esea_match_13770997.dem,11,129530,74.81042,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,2,1,TRUE
esea_match_13770997.dem,11,130122,79.44598,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,2,0,TRUE
esea_match_13770997.dem,12,136409,34.59412,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,5,4,FALSE
esea_match_13770997.dem,12,136723,37.05286,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,4,4,FALSE
esea_match_13770997.dem,12,136805,37.69495,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,4,3,FALSE
esea_match_13770997.dem,12,136883,38.30566,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,4,2,FALSE
