ETF Ticker,Date,ISIN,CUSIP,SEDOL,Ticker,Description,Security Type,Market Value,Maturity Date,Shares,Security Price,Asset Currency,Shares Outstanding,Total Net Assets,Market Value Weight
BCDE,2/12/2020,US7477981069,747798106,BF8FK89,ABC,QUDIAN INC-SPON ADR CDI,COMMON STOCK,"7,080,255.60",,"2,798,520.00",2.53,USD,"1,500,000.00","75,279,244.21",9.41%
BCDE,2/12/2020,INE775A01035,Y6139B141,6743990,EFG,MOTHERSON SUMI SYSTEMS L /INR/,COMMON STOCK,"7,680,973.68",,"4,285,740.00",1.792216,INR,"1,500,000.00","75,279,244.21",10.20%
BCDE,2/12/2020,KR7271560005,Y6S90M128,BDVLJ72,DDFD,ORION CORP/REPUBLIC OF K /KRW/,COMMON STOCK,"7,807,273.96",,"83,340.00",93.679793,KRW,"1,500,000.00","75,279,244.21",10.37%
BCDE,2/12/2020,ES0167050915,E7813W163,B01FLQ6,DFDS,ACS ACTIVIDADES CONS Y S /EUR/,COMMON STOCK,"7,790,962.16",,"225,570.00",34.539,EUR,"1,500,000.00","75,279,244.21",10.35%
BCDE,2/12/2020,TW0001476000,Y2237Y109,6345783,URL,ECLAT TEXTILE COMPANY LT /TWD/,COMMON STOCK,"7,403,208.06",,"600,000.00",12.33868,TWD,"1,500,000.00","75,279,244.21",9.83%
BCDE,2/12/2020,,,,,,CASH,"37,516,570.75",,"37,516,570.75",,USD,"1,500,000.00","75,279,244.21",49.84%
ABCD,2/12/2020,BRSANBCDAM13,P1505Z160,B4V5RY4,,BANCO SANTANDER  BRASIL- /BRL/,OTHER EQUITY,"7,449,059.85",,"759,750.00",9.80462,BRL,"1,500,000.00","75,286,332.86",9.89%
ABCD,2/12/2020,US8030542042,803054204,2775135,,SAP SE-SPONSORED ADR,COMMON STOCK,"7,672,024.80",,"55,530.00",138.16,USD,"1,500,000.00","75,286,332.86",10.19%
ABCD,2/12/2020,INE092A01019,Y85478116,6101167,,TATA CHEMICALS LTD /INR/,COMMON STOCK,"7,447,832.62",,"701,850.00",10.611716,INR,"1,500,000.00","75,286,332.86",9.89%
ABCD,2/12/2020,JP3386380004,J28711109,B23TC12,,J FRONT RETAILING CO LTD /JPY/,COMMON STOCK,"7,620,804.00",,"615,000.00",12.391551,JPY,"1,500,000.00","75,286,332.86",10.12%
ABCD,2/12/2020,US0147521092,14752109,2014021,,ALEXANDER'S INC,REIT - Real Estate Invesment Trust,"7,532,323.50",,"23,010.00",327.35,USD,"1,500,000.00","75,286,332.86",10.00%
ABCD,2/12/2020,,,,,,CASH,"37,564,288.09",,"37,564,288.09",,USD,"1,500,000.00","75,286,332.86",49.90%
