ETF Ticker,Date,ISIN,CUSIP,SEDOL,Ticker,Description,Security Type,Market Value,Maturity Date,Shares,Security Price,Asset Currency,Shares Outstanding,Total Net Assets,Market Value Weight
WUGI,4/7/20,,CASH,,,CASH,CASH,17006.6,,"17,006.60",,USD,100000,2592884.02,0.66%
WUGI,4/7/20,NL0009538784,N6596X109,B505PN7,NXPI,NXP SEMICONDUCTORS NV,COMMON STOCK,51579.36,,612,84.28,USD,100000,2592884.02,1.99%
WUGI,4/7/20,US8486371045,848637104,B424494,SPLK,SPLUNK INC,COMMON STOCK,24044,,200,120.22,USD,100000,2592884.02,0.93%
WUGI,4/7/20,US30303M1027,30303M102,B7TL820,FB,FACEBOOK INC-CLASS A,COMMON STOCK,80363.08,,476,168.83,USD,100000,2592884.02,3.10%
WUGI,4/7/20,US81762P1021,81762P102,B80NXX8,NOW,SERVICENOW INC,COMMON STOCK,59815.8,,228,262.35,USD,100000,2592884.02,2.31%
WUGI,4/7/20,KYG875721634,G87572163,BMMV2K8,700HK,TENCENT HOLDINGS LTD /HKD/,COMMON STOCK,79993.81,,1600,387.6,HKD,100000,2592884.02,3.09%
WUGI,4/7/20,US01609W1027,01609W102,BP41ZD1,BABA,ALIBABA GROUP HOLDING-SP ADR,COMMON STOCK,78408,,396,198,USD,100000,2592884.02,3.02%
WUGI,4/7/20,US49338L1035,49338L103,BQZJ0Q9,KEYS,KEYSIGHT TECHNOLOGIES IN,COMMON STOCK,71011.16,,796,89.21,USD,100000,2592884.02,2.74%
WUGI,4/7/20,US74736K1016,74736K101,BR9YYP4,QRVO,QORVO INC,COMMON STOCK,75956.8,,928,81.85,USD,100000,2592884.02,2.93%
WUGI,4/7/20,US02079K1079,02079K107,BYY88Y7,GOOG,ALPHABET INC-CL C,COMMON STOCK,75936.64,,64,1186.51,USD,100000,2592884.02,2.93%
WUGI,4/7/20,GB00BZ09BD16,G06242104,BZ09BD1,TEAM,ATLASSIAN CORP PLC-CLASS A,COMMON STOCK,57778.72,,436,132.52,USD,100000,2592884.02,2.23%
WUGI,4/7/20,US0231351067,23135106,2000019,AMZN,AMAZON.COM INC,COMMON STOCK,112649.6,,56,2011.6,USD,100000,2592884.02,4.34%
WUGI,4/7/20,US0079031078,7903107,2007849,AMD,ADVANCED MICRO DEVICES,COMMON STOCK,204127.52,,4292,47.56,USD,100000,2592884.02,7.87%
