date,value
3/31/2020,1.125
4/1/2020,0.64
4/2/2020,1.315
4/3/2020,0.78
4/6/2020,1.36
4/7/2020,1.26
4/8/2020,0.816
4/9/2020,0.65
4/13/2020,0.925
4/14/2020,1.269
4/15/2020,0.74
4/16/2020,0.917
4/17/2020,0.12
4/20/2020,0.723
4/21/2020,0.506
4/22/2020,0.636
4/23/2020,0.649
4/24/2020,0.708
4/27/2020,0.742
4/28/2020,0.910
4/29/2020,0.731
4/30/2020,0.369
5/1/2020,-0.536
5/4/2020,0.291
5/5/2020,0.465
5/6/2020,0.578
5/7/2020,0.407
5/8/2020,0.221
5/11/2020,0.584
5/12/2020,0.765
5/13/2020,0.497
5/14/2020,0.650
5/15/2020,0.071
5/18/2020,0.971
5/19/2020,0.558
